URL de la Imagen,Nombre del Producto
logo-mobile-2022-11-02-2.png,banner-300-x-250
ELECTRONICOS-CAT-230x230.jpg,Kemik Seasonal Logo
COMPUTADORAS-Y-ACCESORIOS-CAT-230x230.jpg,https://cdn.kemik.gt/2024/12/ELECTRONICOS-CAT-230x230.jpg
CELULARES-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/11/COMPUTADORAS-Y-ACCESORIOS-CAT-230x230.jpg
CUIDADO-BELLEZA-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/CELULARES-CAT-1200x1200.jpg
HOGAR-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/CUIDADO-BELLEZA-CAT-1200x1200.jpg
HERRAMIENTAS-CAT-1200X1200.jpg,https://cdn.kemik.gt/2024/06/HOGAR-CAT-1200x1200.jpg
CARROS-MOTOS-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/HERRAMIENTAS-CAT-1200X1200.jpg
INTRUMENTOS-Y-AUDIO-PRO-2.jpg,https://cdn.kemik.gt/2024/06/CARROS-MOTOS-CAT-1200x1200.jpg
SALUD-CAT-1200x1200.jpg,https://cdn.kemik.gt/2023/01/INTRUMENTOS-Y-AUDIO-PRO-2.jpg
GAMING-CAT-230x230.jpg,https://cdn.kemik.gt/2024/06/SALUD-CAT-1200x1200.jpg
UTILES-ESCOLARES-OFICINA.jpg,https://cdn.kemik.gt/2024/12/GAMING-CAT-230x230.jpg
LIBROS-CAT-1200x1200.jpg,https://cdn.kemik.gt/2025/01/UTILES-ESCOLARES-OFICINA.jpg
MASCOTAS-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/LIBROS-CAT-1200x1200.jpg
BEBIDAS-ALIMENTOS-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/MASCOTAS-CAT-1200x1200.jpg
ROPA-ACCESORIOS-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/07/BEBIDAS-ALIMENTOS-CAT-1200x1200.jpg
ELECTRONICA-ROBOTICA-CAT-1200X1200.jpg,https://cdn.kemik.gt/2024/07/ROPA-ACCESORIOS-CAT-1200x1200.jpg
DEPORTES-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/06/ELECTRONICA-ROBOTICA-CAT-1200X1200.jpg
SEGURIDAD-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/07/DEPORTES-CAT-1200x1200.jpg
TELEVISION-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/07/SEGURIDAD-CAT-1200x1200.jpg
JUGUETES-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/07/TELEVISION-CAT-1200x1200.jpg
TARJETAS-REGALO-CAT-1200x1200.jpg,https://cdn.kemik.gt/2024/07/JUGUETES-CAT-1200x1200.jpg
PROMOCIONALES-PORTADA-CATEGORIA.jpg,https://cdn.kemik.gt/2024/07/TARJETAS-REGALO-CAT-1200x1200.jpg
EVENTOS-CONCIERTOS-Y-WEBINARS-CAT-230x230.jpg,https://cdn.kemik.gt/2024/07/PROMOCIONALES-PORTADA-CATEGORIA.jpg
guatemala-flag.svg,https://cdn.kemik.gt/2024/12/EVENTOS-CONCIERTOS-Y-WEBINARS-CAT-230x230.jpg
VITAMINAS-Y-SUPLEMENTOS-BANNER-WEB-ENE25.jpg,/img/guatemala-flag.svg
VAPES-GAMER-BANNER-WEB-ENE25.jpg,https://cdn.kemik.gt/2025/01/VITAMINAS-Y-SUPLEMENTOS-BANNER-WEB-ENE25.jpg
